id,name,blurb,goal,pledged,outcome,backers_count,country,currency,launched_at,deadline,staff_pick,spotlight,category & sub-category,Percent Funded,Average Donation,Parent Category,Sub-Category
537,Murillo-Mcfarland,Synchronized client-driven projection,84400,98935,successful,1052,DK,DKK,1535605200,1537592400,TRUE,TRUE,film & video/documentary,117%,49993.5,,
538,"Young, Gilbert and Escobar",Networked didactic time-frame,151300,57034,failed,1296,US,USD,1379826000,1381208400,FALSE,FALSE,games/mobile games,38%,29165,,
539,"Thomas, Welch and Santana",Assimilated exuding toolset,9800,7120,failed,77,US,USD,1561957200,1562475600,FALSE,TRUE,food/food trucks,73%,3598.5,,
540,Brown-Pena,Front-line client-server secured line,5300,14097,successful,247,US,USD,1525496400,1527397200,FALSE,FALSE,photography/photography books,266%,7172,,
541,"Holder, Caldwell and Vance",Polarized systemic Internet solution,178000,43086,failed,395,IT,EUR,1433912400,1436158800,FALSE,FALSE,games/mobile games,24%,21740.5,,
542,Harrison-Bridges,Profit-focused exuding moderator,77000,1930,failed,49,GB,GBP,1453442400,1456034400,FALSE,FALSE,music/indie rock,3%,989.5,,
543,"Johnson, Murphy and Peterson",Cross-group high-level moderator,84900,13864,failed,180,US,USD,1378875600,1380171600,FALSE,FALSE,games/video games,16%,7022,,
544,Taylor Inc,Public-key 3rdgeneration system engine,2800,7742,successful,84,US,USD,1452232800,1453356000,FALSE,FALSE,music/rock,277%,3913,,
545,Deleon and Sons,Organized value-added access,184800,164109,failed,2690,US,USD,1577253600,1578981600,FALSE,FALSE,theater/plays,89%,83399.5,,
546,"Benjamin, Paul and Ferguson",Cloned global Graphical User Interface,4200,6870,successful,88,US,USD,1537160400,1537419600,FALSE,TRUE,theater/plays,164%,3479,,
547,Hardin-Dixon,Focused solution-oriented matrix,1300,12597,successful,156,US,USD,1422165600,1423202400,FALSE,FALSE,film & video/drama,969%,6376.5,,
548,York-Pitts,Monitored discrete toolset,66100,179074,successful,2985,US,USD,1459486800,1460610000,FALSE,FALSE,theater/plays,271%,91029.5,,
549,Jarvis and Sons,Business-focused intermediate system engine,29500,83843,successful,762,US,USD,1369717200,1370494800,FALSE,FALSE,technology/wearables,284%,42302.5,,
550,Morrison-Henderson,De-engineered disintermediate encoding,100,4,canceled,1,CH,CHF,1330495200,1332306000,FALSE,FALSE,music/indie rock,4%,2.5,,
551,Martin-James,Streamlined upward-trending analyzer,180100,105598,failed,2779,AU,AUD,1419055200,1422511200,FALSE,TRUE,technology/web,59%,54188.5,,
552,"Mercer, Solomon and Singleton",Distributed human-resource policy,9000,8866,failed,92,US,USD,1480140000,1480312800,FALSE,FALSE,theater/plays,99%,4479,,
553,"Dougherty, Austin and Mills",De-engineered 5thgeneration contingency,170600,75022,failed,1028,US,USD,1293948000,1294034400,FALSE,FALSE,music/rock,44%,38025,,
554,Ritter PLC,Multi-channeled upward-trending application,9500,14408,successful,554,CA,CAD,1482127200,1482645600,FALSE,FALSE,music/indie rock,152%,7481,,
555,Anderson Group,Organic maximized database,6300,14089,successful,135,DK,DKK,1396414800,1399093200,FALSE,FALSE,music/rock,224%,7112,,
556,Smith and Sons,Grass-roots 24/7 attitude,5200,12467,successful,122,US,USD,1315285200,1315890000,FALSE,TRUE,publishing/translations,240%,6294.5,,
557,Lam-Hamilton,Team-oriented global strategy,6000,11960,successful,221,US,USD,1443762000,1444021200,FALSE,TRUE,film & video/science fiction,199%,6090.5,,
558,Ho Ltd,Enhanced client-driven capacity,5800,7966,successful,126,US,USD,1456293600,1460005200,FALSE,FALSE,theater/plays,137%,4046,,
559,"Brown, Estrada and Jensen",Exclusive systematic productivity,105300,106321,successful,1022,US,USD,1470114000,1470718800,FALSE,FALSE,theater/plays,101%,53671.5,,
560,Hunt LLC,Re-engineered radical policy,20000,158832,successful,3177,US,USD,1321596000,1325052000,FALSE,FALSE,film & video/animation,794%,81004.5,,
561,Fowler-Smith,Down-sized logistical adapter,3000,11091,successful,198,CH,CHF,1318827600,1319000400,FALSE,FALSE,theater/plays,370%,5644.5,,
562,Blair Inc,Configurable bandwidth-monitored throughput,9900,1269,failed,26,CH,CHF,1552366800,1552539600,FALSE,FALSE,music/rock,13%,647.5,,
563,"Kelley, Stanton and Sanchez",Optional tangible pricing structure,3700,5107,successful,85,AU,AUD,1542088800,1543816800,FALSE,FALSE,film & video/documentary,138%,2596,,
564,Hernandez-Macdonald,Organic high-level implementation,168700,141393,failed,1790,US,USD,1426395600,1427086800,FALSE,FALSE,theater/plays,84%,71591.5,,
565,Joseph LLC,Decentralized logistical collaboration,94900,194166,successful,3596,US,USD,1321336800,1323064800,FALSE,FALSE,theater/plays,205%,98881,,
566,Webb-Smith,Advanced content-based installation,9300,4124,failed,37,US,USD,1456293600,1458277200,FALSE,TRUE,music/electric music,44%,2080.5,,
567,Johns PLC,Distributed high-level open architecture,6800,14865,successful,244,US,USD,1404968400,1405141200,FALSE,FALSE,music/rock,219%,7554.5,,
568,Hardin-Foley,Synergized zero tolerance help-desk,72400,134688,successful,5180,US,USD,1279170000,1283058000,FALSE,FALSE,theater/plays,186%,69934,,
569,"Fischer, Fowler and Arnold",Extended multi-tasking definition,20100,47705,successful,589,IT,EUR,1294725600,1295762400,FALSE,FALSE,film & video/animation,237%,24147,,
570,Martinez-Juarez,Realigned uniform knowledge user,31200,95364,successful,2725,US,USD,1419055200,1419573600,FALSE,TRUE,music/rock,306%,49044.5,,
571,Wilson and Sons,Monitored grid-enabled model,3500,3295,failed,35,IT,EUR,1434690000,1438750800,FALSE,FALSE,film & video/shorts,94%,1665,,
572,Clements Group,Assimilated actuating policy,9000,4896,canceled,94,US,USD,1443416400,1444798800,FALSE,TRUE,music/rock,54%,2495,,
573,Valenzuela-Cook,Total incremental productivity,6700,7496,successful,300,US,USD,1399006800,1399179600,FALSE,FALSE,journalism/audio,112%,3898,,
574,"Parker, Haley and Foster",Adaptive local task-force,2700,9967,successful,144,US,USD,1575698400,1576562400,FALSE,TRUE,food/food trucks,369%,5055.5,,
575,Fuentes LLC,Universal zero-defect concept,83300,52421,failed,558,US,USD,1400562000,1400821200,FALSE,TRUE,theater/plays,63%,26489.5,,
576,Moran and Sons,Object-based bottom-line superstructure,9700,6298,failed,64,US,USD,1509512400,1510984800,FALSE,FALSE,theater/plays,65%,3181,,
577,Stevens Inc,Adaptive 24hour projection,8200,1546,canceled,37,US,USD,1299823200,1302066000,FALSE,FALSE,music/jazz,19%,791.5,,
578,Martinez-Johnson,Sharable radical toolset,96500,16168,failed,245,US,USD,1322719200,1322978400,FALSE,FALSE,film & video/science fiction,17%,8206.5,,
579,Franklin Inc,Focused multimedia knowledgebase,6200,6269,successful,87,US,USD,1312693200,1313730000,FALSE,FALSE,music/jazz,101%,3178,,
580,Perez PLC,Seamless 6thgeneration extranet,43800,149578,successful,3116,US,USD,1393394400,1394085600,FALSE,FALSE,theater/plays,342%,76347,,
581,"Sanchez, Cross and Savage",Sharable mobile knowledgebase,6000,3841,failed,71,US,USD,1304053200,1305349200,FALSE,FALSE,technology/web,64%,1956,,
582,Pineda Ltd,Cross-group global system engine,8700,4531,failed,42,US,USD,1433912400,1434344400,FALSE,TRUE,games/video games,52%,2286.5,,
583,Powell and Sons,Centralized clear-thinking conglomeration,18900,60934,successful,909,US,USD,1329717600,1331186400,FALSE,FALSE,film & video/documentary,322%,30921.5,,
584,Nunez-Richards,De-engineered cohesive system engine,86400,103255,successful,1613,US,USD,1335330000,1336539600,FALSE,FALSE,technology/web,120%,52434,,
585,Pugh LLC,Reactive analyzing function,8900,13065,successful,136,US,USD,1268888400,1269752400,FALSE,FALSE,publishing/translations,147%,6600.5,,
586,Rowe-Wong,Robust hybrid budgetary management,700,6654,successful,130,US,USD,1289973600,1291615200,FALSE,FALSE,music/rock,951%,3392,,
587,Williams-Santos,Open-source analyzing monitoring,9400,6852,failed,156,CA,CAD,1547877600,1552366800,FALSE,TRUE,food/food trucks,73%,3504,,
588,Weber Inc,Up-sized discrete firmware,157600,124517,failed,1368,GB,GBP,1269493200,1272171600,FALSE,FALSE,theater/plays,79%,62942.5,,
589,"Avery, Brown and Parker",Exclusive intangible extranet,7900,5113,failed,102,US,USD,1436072400,1436677200,FALSE,FALSE,film & video/documentary,65%,2607.5,,
590,Cox Group,Synergized analyzing process improvement,7100,5824,failed,86,AU,AUD,1419141600,1420092000,FALSE,FALSE,publishing/radio & podcasts,82%,2955,,
591,Jensen LLC,Realigned dedicated system engine,600,6226,successful,102,US,USD,1279083600,1279947600,FALSE,FALSE,games/video games,1038%,3164,,
592,Brown Inc,Object-based bandwidth-monitored concept,156800,20243,failed,253,US,USD,1401426000,1402203600,FALSE,FALSE,theater/plays,13%,10248,,
593,Hale-Hayes,Ameliorated client-driven open system,121600,188288,successful,4006,US,USD,1395810000,1396933200,FALSE,FALSE,film & video/animation,155%,96147,,
594,Mcbride PLC,Upgradable leadingedge Local Area Network,157300,11167,failed,157,US,USD,1467003600,1467262800,FALSE,TRUE,theater/plays,7%,5662,,
595,Harris-Jennings,Customizable intermediate data-warehouse,70300,146595,successful,1629,US,USD,1268715600,1270530000,FALSE,TRUE,theater/plays,209%,74112,,
596,Becker-Scott,Managed optimizing archive,7900,7875,failed,183,US,USD,1457157600,1457762400,FALSE,TRUE,film & video/drama,100%,4029,,
597,"Todd, Freeman and Henry",Diverse systematic projection,73800,148779,successful,2188,US,USD,1573970400,1575525600,FALSE,FALSE,theater/plays,202%,75483.5,,
598,"Martinez, Garza and Young",Up-sized web-enabled info-mediaries,108500,175868,successful,2409,IT,EUR,1276578000,1279083600,FALSE,FALSE,music/rock,162%,89138.5,,
599,Smith-Ramos,Persevering optimizing Graphical User Interface,140300,5112,failed,82,DK,DKK,1423720800,1424412000,FALSE,FALSE,film & video/documentary,4%,2597,,
600,Brown-George,Cross-platform tertiary array,100,5,failed,1,GB,GBP,1375160400,1376197200,FALSE,FALSE,food/food trucks,5%,3,,
601,Waters and Sons,Inverse neutral structure,6300,13018,successful,194,US,USD,1401426000,1402894800,TRUE,FALSE,technology/wearables,207%,6606,,
602,Brown Ltd,Quality-focused system-worthy support,71100,91176,successful,1140,US,USD,1433480400,1434430800,FALSE,FALSE,theater/plays,128%,46158,,
603,"Christian, Yates and Greer",Vision-oriented 5thgeneration array,5300,6342,successful,102,US,USD,1555563600,1557896400,FALSE,FALSE,theater/plays,120%,3222,,
604,"Cole, Hernandez and Rodriguez",Cross-platform logistical circuit,88700,151438,successful,2857,US,USD,1295676000,1297490400,FALSE,FALSE,theater/plays,171%,77147.5,,
605,"Ortiz, Valenzuela and Collins",Profound solution-oriented matrix,3300,6178,successful,107,US,USD,1443848400,1447394400,FALSE,FALSE,publishing/nonfiction,187%,3142.5,,
606,Valencia PLC,Extended asynchronous initiative,3400,6405,successful,160,GB,GBP,1457330400,1458277200,FALSE,FALSE,music/rock,188%,3282.5,,
607,"Gordon, Mendez and Johnson",Fundamental needs-based frame,137600,180667,successful,2230,US,USD,1395550800,1395723600,FALSE,FALSE,food/food trucks,131%,91448.5,,
608,Johnson Group,Compatible full-range leverage,3900,11075,successful,316,US,USD,1551852000,1552197600,FALSE,TRUE,music/jazz,284%,5695.5,,
609,Rose-Fuller,Upgradable holistic system engine,10000,12042,successful,117,US,USD,1547618400,1549087200,FALSE,FALSE,film & video/science fiction,120%,6079.5,,
610,"Hughes, Mendez and Patterson",Stand-alone multi-state data-warehouse,42800,179356,successful,6406,US,USD,1355637600,1356847200,FALSE,FALSE,theater/plays,419%,92881,,
611,"Brady, Cortez and Rodriguez",Multi-lateral maximized core,8200,1136,canceled,15,US,USD,1374728400,1375765200,FALSE,FALSE,theater/plays,14%,575.5,,
612,"Wang, Nguyen and Horton",Innovative holistic hub,6200,8645,successful,192,US,USD,1287810000,1289800800,FALSE,FALSE,music/electric music,139%,4418.5,,
613,"Santos, Williams and Brown",Reverse-engineered 24/7 methodology,1100,1914,successful,26,CA,CAD,1503723600,1504501200,FALSE,FALSE,theater/plays,174%,970,,
614,Barnett and Sons,Business-focused dynamic info-mediaries,26500,41205,successful,723,US,USD,1484114400,1485669600,FALSE,FALSE,theater/plays,155%,20964,,
615,Petersen-Rodriguez,Digitized clear-thinking installation,8500,14488,successful,170,IT,EUR,1461906000,1462770000,FALSE,FALSE,theater/plays,170%,7329,,
616,Burnett-Mora,Quality-focused 24/7 superstructure,6400,12129,successful,238,GB,GBP,1379653200,1379739600,FALSE,TRUE,music/indie rock,190%,6183.5,,
617,King LLC,Multi-channeled local intranet,1400,3496,successful,55,US,USD,1401858000,1402722000,FALSE,FALSE,theater/plays,250%,1775.5,,
618,Miller Ltd,Open-architected mobile emulation,198600,97037,failed,1198,US,USD,1367470800,1369285200,FALSE,FALSE,publishing/nonfiction,49%,49117.5,,
619,Case LLC,Ameliorated foreground methodology,195900,55757,failed,648,US,USD,1304658000,1304744400,TRUE,TRUE,theater/plays,28%,28202.5,,
620,"Swanson, Wilson and Baker",Synergized well-modulated project,4300,11525,successful,128,AU,AUD,1467954000,1468299600,FALSE,FALSE,photography/photography books,268%,5826.5,,
621,"Dean, Fox and Phillips",Extended context-sensitive forecast,25600,158669,successful,2144,US,USD,1473742800,1474174800,FALSE,FALSE,theater/plays,620%,80406.5,,
622,Smith-Smith,Total leadingedge neural-net,189000,5916,failed,64,US,USD,1523768400,1526014800,FALSE,FALSE,music/indie rock,3%,2990,,
623,"Smith, Scott and Rodriguez",Organic actuating protocol,94300,150806,successful,2693,GB,GBP,1437022800,1437454800,FALSE,FALSE,theater/plays,160%,76749.5,,
624,"White, Robertson and Roberts",Down-sized national software,5100,14249,successful,432,US,USD,1422165600,1422684000,FALSE,FALSE,photography/photography books,279%,7340.5,,
625,Martinez Inc,Organic upward-trending Graphical User Interface,7500,5803,failed,62,US,USD,1580104800,1581314400,FALSE,FALSE,theater/plays,77%,2932.5,,
626,"Tucker, Mccoy and Marquez",Synergistic tertiary budgetary management,6400,13205,successful,189,US,USD,1285650000,1286427600,FALSE,TRUE,theater/plays,206%,6697,,
627,"Martin, Lee and Armstrong",Open-architected incremental ability,1600,11108,successful,154,GB,GBP,1276664400,1278738000,TRUE,FALSE,food/food trucks,694%,5631,,
628,"Dunn, Moreno and Green",Intuitive object-oriented task-force,1900,2884,successful,96,US,USD,1286168400,1286427600,FALSE,FALSE,music/indie rock,152%,1490,,
629,"Jackson, Martinez and Ray",Multi-tiered executive toolset,85900,55476,failed,750,US,USD,1467781200,1467954000,FALSE,TRUE,theater/plays,65%,28113,,
630,Patterson-Johnson,Grass-roots directional workforce,9500,5973,canceled,87,US,USD,1556686800,1557637200,FALSE,TRUE,theater/plays,63%,3030,,
631,Carlson-Hernandez,Quality-focused real-time solution,59200,183756,successful,3063,US,USD,1553576400,1553922000,FALSE,FALSE,theater/plays,310%,93409.5,,
632,Parker PLC,Reduced interactive matrix,72100,30902,live,278,US,USD,1414904400,1416463200,FALSE,FALSE,theater/plays,43%,15590,,
633,Yu and Sons,Adaptive context-sensitive architecture,6700,5569,failed,105,US,USD,1446876000,1447221600,FALSE,FALSE,film & video/animation,83%,2837,,
634,"Taylor, Johnson and Hernandez",Polarized incremental portal,118200,92824,canceled,1658,US,USD,1490418000,1491627600,FALSE,FALSE,film & video/television,79%,47241,,
635,Mack Ltd,Reactive regional access,139000,158590,successful,2266,US,USD,1360389600,1363150800,FALSE,FALSE,film & video/television,114%,80428,,
636,Lamb-Sanders,Stand-alone reciprocal frame,197700,127591,failed,2604,DK,DKK,1326866400,1330754400,FALSE,TRUE,film & video/animation,65%,65097.5,,
637,Williams-Ramirez,Open-architected 24/7 throughput,8500,6750,failed,65,US,USD,1479103200,1479794400,FALSE,FALSE,theater/plays,79%,3407.5,,
638,Weaver Ltd,Monitored 24/7 approach,81600,9318,failed,94,US,USD,1280206800,1281243600,FALSE,TRUE,theater/plays,11%,4706,,
639,Barnes-Williams,Upgradable explicit forecast,8600,4832,live,45,US,USD,1532754000,1532754000,FALSE,TRUE,film & video/drama,56%,2438.5,,
640,"Richardson, Woodward and Hansen",Pre-emptive context-sensitive support,119800,19769,failed,257,US,USD,1453096800,1453356000,FALSE,FALSE,theater/plays,17%,10013,,
641,"Hunt, Barker and Baker",Business-focused leadingedge instruction set,9400,11277,successful,194,CH,CHF,1487570400,1489986000,FALSE,FALSE,theater/plays,120%,5735.5,,
642,"Ramos, Moreno and Lewis",Extended multi-state knowledge user,9200,13382,successful,129,CA,CAD,1545026400,1545804000,FALSE,FALSE,technology/wearables,145%,6755.5,,
643,Harris Inc,Future-proofed modular groupware,14900,32986,successful,375,US,USD,1488348000,1489899600,FALSE,FALSE,theater/plays,221%,16680.5,,
644,Peters-Nelson,Distributed real-time algorithm,169400,81984,failed,2928,CA,CAD,1545112800,1546495200,FALSE,FALSE,theater/plays,48%,42456,,
645,"Ferguson, Murphy and Bright",Multi-lateral heuristic throughput,192100,178483,failed,4697,US,USD,1537938000,1539752400,FALSE,TRUE,music/rock,93%,91590,,
646,Robinson Group,Switchable reciprocal middleware,98700,87448,failed,2915,US,USD,1363150800,1364101200,FALSE,FALSE,games/video games,89%,45181.5,,
647,Jordan-Wolfe,Inverse multimedia Graphic Interface,4500,1863,failed,18,US,USD,1523250000,1525323600,FALSE,FALSE,publishing/translations,41%,940.5,,
648,Vargas-Cox,Vision-oriented local contingency,98600,62174,canceled,723,US,USD,1499317200,1500872400,TRUE,FALSE,food/food trucks,63%,31448.5,,
649,Yang and Sons,Reactive 6thgeneration hub,121700,59003,failed,602,CH,CHF,1287550800,1288501200,TRUE,TRUE,theater/plays,48%,29802.5,,
650,"Wilson, Wilson and Mathis",Optional asymmetric success,100,2,failed,1,US,USD,1404795600,1407128400,FALSE,FALSE,music/jazz,2%,1.5,,
651,"Wang, Koch and Weaver",Digitized analyzing capacity,196700,174039,failed,3868,IT,EUR,1393048800,1394344800,FALSE,FALSE,film & video/shorts,88%,88953.5,,
652,Cisneros Ltd,Vision-oriented regional hub,10000,12684,successful,409,US,USD,1470373200,1474088400,FALSE,FALSE,technology/web,127%,6546.5,,
653,Williams-Jones,Monitored incremental info-mediaries,600,14033,successful,234,US,USD,1460091600,1460264400,FALSE,FALSE,technology/web,2339%,7133.5,,
654,"Roberts, Hinton and Williams",Programmable static middleware,35000,177936,successful,3016,US,USD,1440392400,1440824400,FALSE,FALSE,music/metal,508%,90476,,
655,"Gonzalez, Williams and Benson",Multi-layered bottom-line encryption,6900,13212,successful,264,US,USD,1488434400,1489554000,TRUE,FALSE,photography/photography books,191%,6738,,
656,"Hobbs, Brown and Lee",Vision-oriented systematic Graphical User Interface,118400,49879,failed,504,AU,AUD,1514440800,1514872800,FALSE,FALSE,food/food trucks,42%,25191.5,,
657,"Russo, Kim and Mccoy",Balanced optimal hardware,10000,824,failed,14,US,USD,1514354400,1515736800,FALSE,FALSE,film & video/science fiction,8%,419,,
658,"Howell, Myers and Olson",Self-enabling mission-critical success,52600,31594,canceled,390,US,USD,1440910800,1442898000,FALSE,FALSE,music/rock,60%,15992,,
659,Bailey and Sons,Grass-roots dynamic emulation,120700,57010,failed,750,GB,GBP,1296108000,1296194400,FALSE,FALSE,film & video/documentary,47%,28880,,
660,Jensen-Brown,Fundamental disintermediate matrix,9100,7438,failed,77,US,USD,1440133200,1440910800,TRUE,FALSE,theater/plays,82%,3757.5,,
661,Smith Group,Right-sized secondary challenge,106800,57872,failed,752,DK,DKK,1332910800,1335502800,FALSE,FALSE,music/jazz,54%,29312,,
662,Murphy-Farrell,Implemented exuding software,9100,8906,failed,131,US,USD,1544335200,1544680800,FALSE,FALSE,theater/plays,98%,4518.5,,
663,Everett-Wolfe,Total optimizing software,10000,7724,failed,87,US,USD,1286427600,1288414800,FALSE,FALSE,theater/plays,77%,3905.5,,
664,Young PLC,Optional maximized attitude,79400,26571,failed,1063,US,USD,1329717600,1330581600,FALSE,FALSE,music/jazz,33%,13817,,
665,Park-Goodman,Customer-focused impactful extranet,5100,12219,successful,272,US,USD,1310187600,1311397200,FALSE,TRUE,film & video/documentary,240%,6245.5,,
666,"York, Barr and Grant",Cloned bottom-line success,3100,1985,canceled,25,US,USD,1377838800,1378357200,FALSE,TRUE,theater/plays,64%,1005,,
667,Little Ltd,Decentralized bandwidth-monitored ability,6900,12155,successful,419,US,USD,1410325200,1411102800,FALSE,FALSE,journalism/audio,176%,6287,,
668,Brown and Sons,Programmable leadingedge budgetary management,27500,5593,failed,76,US,USD,1343797200,1344834000,FALSE,FALSE,theater/plays,20%,2834.5,,
669,"Payne, Garrett and Thomas",Upgradable bi-directional concept,48800,175020,successful,1621,IT,EUR,1498453200,1499230800,FALSE,FALSE,theater/plays,359%,88320.5,,
670,Robinson Group,Re-contextualized homogeneous flexibility,16200,75955,successful,1101,US,USD,1456380000,1457416800,FALSE,FALSE,music/indie rock,469%,38528,,
671,Robinson-Kelly,Monitored bi-directional standardization,97600,119127,successful,1073,US,USD,1280552400,1280898000,FALSE,TRUE,theater/plays,122%,60100,,
672,Kelly-Colon,Stand-alone grid-enabled leverage,197900,110689,failed,4428,AU,AUD,1521608400,1522472400,FALSE,FALSE,theater/plays,56%,57558.5,,
673,"Turner, Scott and Gentry",Assimilated regional groupware,5600,2445,failed,58,IT,EUR,1460696400,1462510800,FALSE,FALSE,music/indie rock,44%,1251.5,,
674,Sanchez Ltd,Up-sized 24hour instruction set,170700,57250,canceled,1218,US,USD,1313730000,1317790800,FALSE,FALSE,photography/photography books,34%,29234,,
675,Giles-Smith,Right-sized web-enabled intranet,9700,11929,successful,331,US,USD,1568178000,1568782800,FALSE,FALSE,journalism/audio,123%,6130,,
676,Thompson-Moreno,Expanded needs-based orchestration,62300,118214,successful,1170,US,USD,1348635600,1349413200,FALSE,FALSE,photography/photography books,190%,59692,,
677,Murphy-Fox,Organic system-worthy orchestration,5300,4432,failed,111,US,USD,1468126800,1472446800,FALSE,FALSE,publishing/fiction,84%,2271.5,,
678,Rodriguez-Patterson,Inverse static standardization,99500,17879,canceled,215,US,USD,1547877600,1548050400,FALSE,FALSE,film & video/drama,18%,9047,,
679,Davis Ltd,Synchronized motivating solution,1400,14511,successful,363,US,USD,1571374800,1571806800,FALSE,TRUE,food/food trucks,1037%,7437,,
680,Nelson-Valdez,Open-source 4thgeneration open system,145600,141822,failed,2955,US,USD,1576303200,1576476000,FALSE,TRUE,games/mobile games,97%,72388.5,,
681,Kelly PLC,Decentralized context-sensitive superstructure,184100,159037,failed,1657,US,USD,1324447200,1324965600,FALSE,FALSE,theater/plays,86%,80347,,
682,Nguyen and Sons,Compatible 5thgeneration concept,5400,8109,successful,103,US,USD,1386741600,1387519200,FALSE,FALSE,theater/plays,150%,4106,,
683,Jones PLC,Virtual systemic intranet,2300,8244,successful,147,US,USD,1537074000,1537246800,FALSE,FALSE,theater/plays,358%,4195.5,,
684,Gilmore LLC,Optimized systemic algorithm,1400,7600,successful,110,CA,CAD,1277787600,1279515600,FALSE,FALSE,publishing/nonfiction,543%,3855,,
685,Lee-Cobb,Customizable homogeneous firmware,140000,94501,failed,926,CA,CAD,1440306000,1442379600,FALSE,FALSE,theater/plays,68%,47713.5,,
686,"Jones, Wiley and Robbins",Front-line cohesive extranet,7500,14381,successful,134,US,USD,1522126800,1523077200,FALSE,FALSE,technology/wearables,192%,7257.5,,
687,"Martin, Gates and Holt",Distributed holistic neural-net,1500,13980,successful,269,US,USD,1489298400,1489554000,FALSE,FALSE,theater/plays,932%,7124.5,,
688,"Bowen, Davies and Burns",Devolved client-server monitoring,2900,12449,successful,175,US,USD,1547100000,1548482400,FALSE,TRUE,film & video/television,429%,6312,,
689,Nguyen Inc,Seamless directional capacity,7300,7348,successful,69,US,USD,1383022800,1384063200,FALSE,FALSE,technology/web,101%,3708.5,,
690,Walsh-Watts,Polarized actuating implementation,3600,8158,successful,190,US,USD,1322373600,1322892000,FALSE,TRUE,film & video/documentary,227%,4174,,
691,"Ray, Li and Li",Front-line disintermediate hub,5000,7119,successful,237,US,USD,1349240400,1350709200,TRUE,TRUE,film & video/documentary,142%,3678,,
692,Murray Ltd,Decentralized 4thgeneration challenge,6000,5438,failed,77,GB,GBP,1562648400,1564203600,FALSE,FALSE,music/rock,91%,2757.5,,
693,Bradford-Silva,Reverse-engineered composite hierarchy,180400,115396,failed,1748,US,USD,1508216400,1509685200,FALSE,FALSE,theater/plays,64%,58572,,
694,Mora-Bradley,Programmable tangible ability,9100,7656,failed,79,US,USD,1511762400,1514959200,FALSE,FALSE,theater/plays,84%,3867.5,,
695,"Cardenas, Thompson and Carey",Configurable full-range emulation,9200,12322,successful,196,IT,EUR,1447480800,1448863200,TRUE,FALSE,music/rock,134%,6259,,
696,"Lopez, Reid and Johnson",Total real-time hardware,164100,96888,failed,889,US,USD,1429506000,1429592400,FALSE,TRUE,theater/plays,59%,48888.5,,
697,Fox-Williams,Profound system-worthy functionalities,128900,196960,successful,7295,US,USD,1522472400,1522645200,FALSE,FALSE,music/electric music,153%,102127.5,,
698,"Taylor, Wood and Taylor",Cloned hybrid focus group,42100,188057,successful,2893,CA,CAD,1322114400,1323324000,FALSE,FALSE,technology/wearables,447%,95475,,
699,King Inc,Ergonomic dedicated focus group,7400,6245,failed,56,US,USD,1561438800,1561525200,FALSE,FALSE,film & video/drama,84%,3150.5,,
700,"Cole, Petty and Cameron",Realigned zero administration paradigm,100,3,failed,1,US,USD,1264399200,1265695200,FALSE,FALSE,technology/wearables,3%,2,,
701,Mcclain LLC,Open-source multi-tasking methodology,52000,91014,successful,820,US,USD,1301202000,1301806800,TRUE,FALSE,theater/plays,175%,45917,,
702,Sims-Gross,Object-based attitude-oriented analyzer,8700,4710,failed,83,US,USD,1374469200,1374901200,FALSE,FALSE,technology/wearables,54%,2396.5,,
703,Perez Group,Cross-platform tertiary hub,63400,197728,successful,2038,US,USD,1334984400,1336453200,TRUE,TRUE,publishing/translations,312%,99883,,
704,Haynes-Williams,Seamless clear-thinking artificial intelligence,8700,10682,successful,116,US,USD,1467608400,1468904400,FALSE,FALSE,film & video/animation,123%,5399,,
705,Ford LLC,Centralized tangible success,169700,168048,failed,2025,GB,GBP,1386741600,1387087200,FALSE,FALSE,publishing/nonfiction,99%,85036.5,,
706,Moreno Ltd,Customer-focused multimedia methodology,108400,138586,successful,1345,AU,AUD,1546754400,1547445600,FALSE,TRUE,technology/web,128%,69965.5,,
707,"Moore, Cook and Wright",Visionary maximized Local Area Network,7300,11579,successful,168,US,USD,1544248800,1547359200,FALSE,FALSE,film & video/drama,159%,5873.5,,
708,Ortega LLC,Secured bifurcated intranet,1700,12020,successful,137,CH,CHF,1495429200,1496293200,FALSE,FALSE,theater/plays,707%,6078.5,,
709,"Silva, Walker and Martin",Grass-roots 4thgeneration product,9800,13954,successful,186,IT,EUR,1334811600,1335416400,FALSE,FALSE,theater/plays,142%,7070,,
710,"Huynh, Gallegos and Mills",Reduced next generation info-mediaries,4300,6358,successful,125,US,USD,1531544400,1532149200,FALSE,TRUE,theater/plays,148%,3241.5,,
711,Anderson LLC,Customizable full-range artificial intelligence,6200,1260,failed,14,IT,EUR,1453615200,1453788000,TRUE,TRUE,theater/plays,20%,637,,
712,Garza-Bryant,Programmable leadingedge contingency,800,14725,successful,202,US,USD,1467954000,1471496400,FALSE,FALSE,theater/plays,1841%,7463.5,,
713,Mays LLC,Multi-layered global groupware,6900,11174,successful,103,US,USD,1471842000,1472878800,FALSE,FALSE,publishing/radio & podcasts,162%,5638.5,,
714,Evans-Jones,Switchable methodical superstructure,38500,182036,successful,1785,US,USD,1408424400,1408510800,FALSE,FALSE,music/rock,473%,91910.5,,
715,"Fischer, Torres and Walker",Expanded even-keeled portal,118000,28870,failed,656,US,USD,1281157200,1281589200,FALSE,FALSE,games/mobile games,24%,14763,,
